resuFALSEt.match_id,resuFALSEt.radiant_TRUEin,resuFALSEt.duration,resuFALSEt.pFALSEayer_1_hero_id,resuFALSEt.pFALSEayer_2_hero_id,resuFALSEt.pFALSEayer_3_hero_id,resuFALSEt.pFALSEayer_4_hero_id,resuFALSEt.pFALSEayer_5_hero_id,resuFALSEt.pFALSEayer_6_hero_id,resuFALSEt.pFALSEayer_7_hero_id,resuFALSEt.pFALSEayer_8_hero_id,resuFALSEt.pFALSEayer_9_hero_id,resuFALSEt.pFALSEayer_10_hero_id
1729094022,TRUE,2556,13,21,98,77,74,97,1,14,37,111
1729094023,TRUE,3256,47,41,35,14,70,32,21,67,20,25
1729094024,TRUE,2543,1,75,23,21,43,39,63,104,27,44
1729094038,TRUE,3539,71,94,7,14,100,28,68,61,16,1
1729094039,FALSE,2691,85,72,17,7,5,39,75,97,86,4
1729094040,FALSE,2770,105,85,13,93,78,28,101,54,68,46
1729094041,FALSE,2788,106,36,93,50,92,18,11,72,57,9
1729094044,TRUE,1509,80,95,6,20,48,37,32,23,111,2
1729094045,TRUE,2935,1,51,89,68,17,59,86,34,70,93
1729094047,TRUE,1690,77,9,22,11,102,29,25,73,48,96
1729094048,FALSE,2695,55,33,18,99,7,54,6,74,35,5
1729094049,FALSE,2941,44,4,25,2,33,5,47,16,29,62
1729094050,TRUE,2921,6,44,104,32,50,17,34,7,95,41
1729094051,FALSE,2866,27,11,40,22,105,14,53,2,110,69
1729094052,FALSE,3104,39,109,51,78,42,72,59,82,111,76
1729094053,FALSE,2863,8,60,107,22,52,98,109,63,41,102
1729094077,TRUE,2203,25,4,59,74,6,44,1,102,34,12
1729094078,TRUE,1904,1,97,62,14,5,93,74,75,71,32
1729094080,FALSE,2367,3,11,41,84,7,4,97,14,105,30
1729094081,FALSE,2986,52,56,14,4,62,32,50,43,93,70
1729094082,FALSE,3444,11,35,112,62,100,20,8,30,74,32
1729094083,FALSE,2303,100,106,93,11,48,81,85,25,14,35
1729094085,FALSE,2603,1,102,22,36,48,73,49,25,9,68
1729094086,TRUE,371,105,25,30,76,101,60,75,96,5,54
1729094088,TRUE,2741,28,14,9,72,12,32,86,60,15,41
1729094090,TRUE,2462,7,22,72,62,56,8,25,86,17,95
1729094091,TRUE,1858,11,9,19,105,87,33,71,54,74,4
1729094092,FALSE,3577,71,101,17,105,47,97,62,4,100,22
1729094115,TRUE,2306,44,59,100,14,21,4,41,39,32,13
1729094116,FALSE,2543,9,17,69,31,86,60,72,85,11,2
1729094117,TRUE,1738,4,52,12,8,90,68,59,35,56,5
1729094118,FALSE,2551,62,69,22,85,48,4,72,17,35,21
1729094119,TRUE,1847,33,97,17,36,4,86,57,21,1,73
1729094121,FALSE,3981,44,96,32,30,72,71,81,87,62,26
1729094122,FALSE,1978,88,74,66,75,15,61,30,91,104,2
1729094123,FALSE,2945,11,21,86,100,51,25,7,106,29,22
1729094124,FALSE,2716,44,96,3,53,106,56,100,62,11,64
1729094125,FALSE,2829,93,36,5,7,44,12,31,4,56,82
1729094127,TRUE,1847,39,82,20,7,78,102,99,22,90,65
1729094137,FALSE,2781,75,13,72,4,88,17,9,93,62,50
1729094138,FALSE,2157,65,17,11,4,18,48,6,59,22,99
1729094139,FALSE,3423,41,52,66,36,43,75,95,4,7,69
1729094140,FALSE,4179,106,5,52,49,2,72,97,39,25,71
1729094143,TRUE,4014,11,109,90,75,100,105,72,7,110,17
1729094145,TRUE,3027,14,4,100,18,110,74,32,85,12,54
1729094146,FALSE,1560,51,107,52,93,56,55,21,2,74,96
1729094149,FALSE,3107,75,6,70,2,71,15,77,39,61,102
1729094173,TRUE,3458,2,8,15,21,29,62,26,17,90,4
1729094174,FALSE,2914,7,72,22,95,57,23,62,17,42,25
1729094175,FALSE,2971,39,41,86,46,67,18,97,37,84,87
1729094176,TRUE,2135,54,51,34,63,100,4,23,26,25,97
1729094178,FALSE,3092,38,10,64,109,111,78,4,1,33,7
1729094179,FALSE,3681,106,74,87,7,107,11,32,82,13,9
1729094180,FALSE,1284,47,14,109,31,59,60,6,54,95,70
1729094181,TRUE,2392,104,17,50,45,1,36,70,103,74,57
1729094182,TRUE,2811,37,69,38,64,70,94,39,41,107,7
1729094183,TRUE,3912,25,12,17,86,69,101,75,72,7,52
1729094184,TRUE,2916,74,73,32,99,54,62,63,26,39,59
1729094185,FALSE,3234,99,102,20,19,53,18,14,71,39,30
1729094186,TRUE,2511,36,52,92,61,30,55,32,99,75,90
1729094187,FALSE,2855,66,73,100,90,55,57,4,10,17,71
1729094188,FALSE,2816,21,52,17,12,68,85,104,84,25,67
1729094189,TRUE,2517,6,56,82,45,3,69,9,80,48,20
1729094197,FALSE,1755,66,92,107,86,41,21,62,17,7,1
1729094209,FALSE,2579,63,109,60,10,23,19,71,26,61,48
1729094210,FALSE,2363,72,16,76,2,93,44,53,32,4,21
1729094211,FALSE,2443,38,85,13,86,71,88,19,37,84,70
1729094212,TRUE,1865,42,33,27,100,14,62,25,54,32,59
1729094214,FALSE,2823,52,86,14,36,56,41,26,71,28,76
1729094215,FALSE,2879,4,2,17,7,93,9,19,26,39,36
1729094216,TRUE,2788,50,53,109,71,21,98,34,22,46,93
1729094217,TRUE,2539,100,21,6,52,28,18,11,50,90,72
1729094218,TRUE,2049,39,2,14,44,100,86,71,62,8,77
1729094219,FALSE,2639,12,38,71,17,27,75,54,94,95,7
1729094220,TRUE,2838,83,93,112,54,6,3,31,15,43,78
1729094223,TRUE,2605,93,100,50,9,14,44,64,16,11,105
1729094224,FALSE,2568,62,98,52,44,26,5,70,72,25,9
1729094225,TRUE,3329,62,84,39,99,102,46,52,14,13,112
1729094226,FALSE,3447,63,25,90,36,22,39,20,35,21,110
1729094227,FALSE,2482,12,9,74,86,65,41,55,25,103,21
1729094246,FALSE,2530,39,22,21,4,62,32,105,56,17,37
1729094247,FALSE,2374,41,12,106,88,58,17,86,6,19,78
